customer_id,subscription_id,subscription_start_date,subscription_end_date,subscription_cost,num_support_calls,referral_code,avg_monthly_transactions,avg_transactions_per_day,churned
C001,S001,2024-01-15,,249,1,REF100,42,1.4,0
C002,S002,2024-02-03,2025-01-20,49,6,,8,,1
C003,S003,2024-03-11,,129,2,REF220,24,0.8,0
C004,S004,2024-01-29,2024-11-18,59,5,0,10,0.3,1
C005,S005,2023-12-04,,299,0,REF340,55,1.8,0
C006,S006,2024-04-21,2025-02-15,119,4,,17,,1
C007,S007,2024-05-09,,39,2,REF115,12,0.4,0
C008,S008,2024-02-18,,269,1,REF410,48,1.6,0
C009,S009,2024-06-02,2025-01-05,139,7,,16,0.5,1
C010,S010,2024-03-14,2024-12-30,45,5,,9,,1
C011,S011,2024-01-08,,319,0,REF510,61,2.0,0
C012,S012,2024-07-19,2025-03-01,109,4,0,18,0.6,1
C013,S013,2024-08-06,,55,1,REF125,14,,0
C014,S014,2024-04-12,,279,2,REF610,50,1.7,0
C015,S015,2024-05-25,2025-02-10,149,5,,19,,1
C016,S016,2024-09-03,2025-04-06,65,6,,11,0.4,1
C017,S017,2024-02-27,,289,1,REF720,53,1.8,0
C018,S018,2024-10-16,2025-03-19,115,4,,21,0.7,1
C019,S019,2024-11-01,,42,2,REF135,13,,0
C020,S020,2024-06-30,,259,0,REF810,46,1.5,0
C021,S021,2024-07-07,2025-04-22,135,5,,17,0.6,1
C022,S022,2024-10-29,2025-05-10,52,6,,8,,1
C023,S023,2024-03-22,,309,1,REF910,58,1.9,0
C024,S024,2024-12-12,2025-05-01,99,4,0,20,0.7,1
