customer_id,customer_segment,region,account_type,state_province,contract_type,payment_method,internet_service,tech_support,num_addon_services,senior_citizen,has_partner,has_dependents,paperless_billing
C00001,Enterprise,North,Annual,WI,One year,Credit card,DSL,No,5,0,No,No,Yes
C00002,Small Business,West,Monthly,AZ,Month-to-month,Electronic check,DSL,No,4,0,No,No,Yes
C00003,Enterprise,East,Annual,NY,Two year,Credit card,Fiber optic,Yes,1,1,No,Yes,Yes
C00004,Mid-Market,South,Monthly,GA,Month-to-month,Electronic check,Fiber optic,Yes,5,0,Yes,Yes,No
C00005,Small Business,South,Annual,TX,One year,Electronic check,DSL,Yes,5,1,Yes,Yes,Yes
C00006,Enterprise,West,Monthly,AZ,Month-to-month,Credit card,DSL,Yes,0,0,No,No,Yes
C00007,Mid-Market,North,Monthly,MI,Month-to-month,Bank transfer,DSL,Yes,0,1,No,No,Yes
C00008,Small Business,East,Monthly,MA,Month-to-month,Bank transfer,DSL,No,1,0,No,Yes,No
C00009,Small Business,North,Monthly,WI,Month-to-month,Bank transfer,DSL,Yes,4,0,No,No,No
C00010,Mid-Market,North,Annual,MN,One year,Bank transfer,DSL,Yes,3,0,No,No,Yes
C00011,Small Business,East,Monthly,NY,Month-to-month,Bank transfer,None,No,3,0,No,No,No
C00012,Small Business,West,Monthly,CA,Month-to-month,Bank transfer,DSL,No,2,1,Yes,No,Yes
C00013,Small Business,East,Annual,MA,Two year,Electronic check,DSL,Yes,2,0,No,No,No
C00014,Small Business,West,Monthly,WA,Month-to-month,Bank transfer,Fiber optic,Yes,3,0,No,Yes,Yes
C00015,Small Business,East,Annual,PA,One year,Electronic check,Fiber optic,No,0,0,No,No,Yes
C00016,Mid-Market,West,Annual,CA,One year,Electronic check,Fiber optic,Yes,3,0,Yes,Yes,Yes
C00017,Small Business,East,Monthly,NY,Month-to-month,Electronic check,DSL,No,1,1,Yes,Yes,No
C00018,Small Business,North,Monthly,MN,Month-to-month,Bank transfer,DSL,No,4,0,Yes,No,No
