customer_id,subscription_id,subscription_start_date,subscription_end_date,subscription_cost,monthly_charges,num_support_calls,support_calls_per_day,referral_code,avg_monthly_transactions,avg_transactions_per_day,tenure_days,was_referred,churned
C00001,S00001,2020-08-04,,59,58.55,4,0.0044,,52,1.7333,918,0,0
C00002,S00002,2024-01-12,2024-10-07,113,112.6,2,0.0074,REF476,17,0.5667,269,1,1
C00003,S00003,2022-08-20,,85,84.61,1,0.0167,,50,1.6667,60,0,0
C00004,S00004,2023-12-20,2025-09-21,99,98.62,3,0.0047,,38,1.2667,641,0,1
C00005,S00005,2021-03-17,2023-10-20,112,112.23,1,0.0011,,8,0.2667,947,0,1
C00006,S00006,2022-07-14,2027-05-29,84,83.66,2,0.0011,,39,1.3,1780,0,1
C00007,S00007,2021-02-15,2025-06-14,72,72.37,3,0.0019,,21,0.7,1580,0,1
C00008,S00008,2021-12-02,2025-06-29,85,84.81,1,0.0008,,10,0.3333,1305,0,1
C00009,S00009,2021-04-29,2026-01-28,68,67.52,1,0.0006,,28,0.9333,1735,0,1
C00010,S00010,2020-08-01,2024-06-08,80,80.21,0,0.0,,33,1.1,1407,0,1
C00011,S00011,2021-10-25,,80,80.22,3,0.0031,,26,0.8667,975,0,0
C00012,S00012,2022-03-06,2026-09-07,66,66.17,1,0.0006,REF428,13,0.4333,1646,1,1
C00013,S00013,2020-08-23,,61,61.03,3,0.0018,,26,0.8667,1660,0,0
C00014,S00014,2021-08-20,,101,100.76,1,0.0024,,14,0.4667,412,0,0
C00015,S00015,2020-05-20,2021-11-22,88,87.63,2,0.0036,,23,0.7667,551,0,1
C00016,S00016,2022-08-26,2027-06-06,110,109.86,1,0.0006,REF500,24,0.8,1745,1,1
C00017,S00017,2021-04-14,,50,50.45,3,0.0435,,32,1.0667,69,0,0
C00018,S00018,2020-05-14,2022-12-31,45,45.21,5,0.0052,,19,0.6333,961,0,1
C00019,S00019,2022-02-08,,105,105.24,1,0.0014,,33,1.1,726,0,0
C00020,S00020,2023-06-06,2027-02-20,51,50.67,3,0.0022,,24,0.8,1355,0,1
